# Base_d8: depth=8, perturb=-1
# P_echo=0.000000 shots=100
# echo=1 means all-ones (H·H=X on QPU-1)
0 1000100010
0 1111111010
0 1000100010
0 1000100010
0 1111111010
0 1000100010
0 1111111010
0 1000100010
0 1000100010
0 1111111010
0 1111111010
0 1000100010
0 1111111010
0 1111111010
0 1111111010
0 1111111010
0 1111111010
0 1111111010
0 1111111010
0 1111111010
0 1111111010
0 1000100010
0 1000100010
0 1111111010
0 1111111010
0 1111111010
0 1111111010
0 1000100010
0 1111111010
0 1111111010
0 1000100010
0 1111111010
0 1111111010
0 1111111010
0 1000100010
0 1111111010
0 1111111010
0 1111111010
0 1111111010
0 1000100010
0 1000100010
0 1111111010
0 1111111010
0 1000100010
0 1000100010
0 1000100010
0 1111111010
0 1000100010
0 1111111010
0 1000100010
0 1111111010
0 1111111010
0 1111111010
0 1000100010
0 1000100010
0 1000100010
0 1111111010
0 1000100010
0 1111111010
0 1000100010
0 1000100010
0 1111111010
0 1111111010
0 1000100010
0 1000100010
0 1000100010
0 1000100010
0 1000100010
0 1000100010
0 1111111010
0 1111111010
0 1000100010
0 1111111010
0 1000100010
0 1000100010
0 1111111010
0 1111111010
0 1000100010
0 1000100010
0 1111111010
0 1000100010
0 1000100010
0 1000100010
0 1111111010
0 1000100010
0 1000100010
0 1111111010
0 1111111010
0 1111111010
0 1000100010
0 1000100010
0 1000100010
0 1000100010
0 1111111010
0 1111111010
0 1000100010
0 1111111010
0 1111111010
0 1000100010
0 1111111010
