# Fly_q3: depth=6, perturb=3
# P_echo=0.000000 shots=100
# echo=1 means all-ones (H·H=X on QPU-1)
0 1111111011
0 1111111011
0 1011110011
0 1111111011
0 1111111011
0 1111111011
0 1111111011
0 1111111011
0 1111111011
0 1011110011
0 1011110011
0 1111111011
0 1011110011
0 1011110011
0 1111111011
0 1011110011
0 1011110011
0 1111111011
0 1011110011
0 1011110011
0 1111111011
0 1111111011
0 1011110011
0 1111111011
0 1011110011
0 1111111011
0 1011110011
0 1011110011
0 1111111011
0 1111111011
0 1111111011
0 1111111011
0 1011110011
0 1111111011
0 1011110011
0 1111111011
0 1111111011
0 1111111011
0 1111111011
0 1011110011
0 1011110011
0 1111111011
0 1111111011
0 1011110011
0 1011110011
0 1111111011
0 1011110011
0 1111111011
0 1011110011
0 1011110011
0 1011110011
0 1111111011
0 1111111011
0 1011110011
0 1011110011
0 1011110011
0 1111111011
0 1111111011
0 1111111011
0 1111111011
0 1011110011
0 1011110011
0 1011110011
0 1011110011
0 1111111011
0 1111111011
0 1111111011
0 1111111011
0 1011110011
0 1111111011
0 1011110011
0 1011110011
0 1011110011
0 1111111011
0 1011110011
0 1111111011
0 1111111011
0 1011110011
0 1011110011
0 1011110011
0 1011110011
0 1011110011
0 1011110011
0 1111111011
0 1111111011
0 1011110011
0 1111111011
0 1111111011
0 1011110011
0 1111111011
0 1011110011
0 1111111011
0 1011110011
0 1111111011
0 1011110011
0 1111111011
0 1111111011
0 1111111011
0 1111111011
0 1111111011
